merged_umls_label,disease_mondo_term_norm,earliest_year,disease,documents
ANAKINRA,sterile multifocal osteomyelitis with periostitis and pustulosis,2001.0,deficiency of interleukin-1 receptor antagonist; dira,['BLA103950'] ; ['BLA103950']
ARIPiprazole,Tourette syndrome,2002.0,tourette's disorder; tourette’s disorder,"['ANDA201519', 'ANDA203025', 'NDA021436', 'NDA216655'] ; ['ANDA202101', 'ANDA202102', 'ANDA202547', 'ANDA203906', 'ANDA203908', 'ANDA204094', 'ANDA204111', 'ANDA204171', 'ANDA204838', 'ANDA205064', 'ANDA205363', 'ANDA206174', 'ANDA207105', 'ANDA207240', 'ANDA210479', 'ANDA212870', 'ANDA215595', 'ANDA216150', 'ANDA216351']"
ARIPiprazole,autism,2002.0,autistic disorder,"['ANDA201519', 'ANDA202547', 'ANDA203025', 'ANDA203906', 'ANDA204094', 'ANDA204171', 'ANDA207105', 'ANDA207240', 'ANDA210479', 'ANDA212870', 'ANDA215595', 'ANDA216351', 'NDA021436', 'NDA216655']"
ARIPiprazole,bipolar I disorder,2002.0,bipolar i disorder,"['ANDA201519', 'ANDA202547', 'ANDA203906', 'ANDA204094', 'ANDA204171', 'ANDA207105', 'ANDA210479', 'ANDA212870', 'ANDA215595', 'ANDA216150', 'ANDA216351', 'NDA021436', 'NDA202971', 'NDA217006']"
ARIPiprazole,irritability,2015.0,irritability,"['ANDA203025', 'ANDA204171', 'ANDA216150', 'NDA216655']"
ARIPiprazole,irritability associated with autistic disorder,2015.0,irritability associated with autistic disorder,"['ANDA202101', 'ANDA202102', 'ANDA203908', 'ANDA204111', 'ANDA204838', 'ANDA205363', 'ANDA206174']"
ARIPiprazole,major depressive disorder,2002.0,major depressive disorder,"['ANDA201519', 'ANDA202547', 'ANDA203906', 'ANDA204094', 'ANDA207105', 'ANDA212870', 'ANDA215595', 'ANDA216351', 'NDA021436', 'NDA216655']"
ARIPiprazole,schizophrenia,2002.0,schizophrenia,"['ANDA201519', 'ANDA202101', 'ANDA202102', 'ANDA202547', 'ANDA203025', 'ANDA203906', 'ANDA203908', 'ANDA204094', 'ANDA204111', 'ANDA204171', 'ANDA204838', 'ANDA205064', 'ANDA205363', 'ANDA206174', 'ANDA206251', 'ANDA206383', 'ANDA207105', 'ANDA207240', 'ANDA210479', 'ANDA212870', 'ANDA215595', 'ANDA216150', 'ANDA216351', 'NDA021436', 'NDA202971', 'NDA207202', 'NDA207533', 'NDA209830', 'NDA216655', 'NDA217006']"
Abacavir,HIV infectious disease,1998.0,hiv-1 infection; human immunodeficiency virus (hiv-1) infection; human immunodeficiency virus type 1 (hiv-1) infection; human immunodeficiency virus type 1 infection,"['ANDA078119', 'ANDA091144', 'ANDA201107', 'ANDA202912', 'ANDA204990', 'NDA205551', 'NDA215413'] ; ['ANDA077844', 'ANDA077950', 'ANDA091294', 'ANDA091560', 'ANDA201107', 'NDA020978'] ; ['ANDA202912'] ; ['ANDA090159', 'ANDA205412', 'ANDA212663', 'ANDA216332', 'NDA021652']"
Abacavir sulfate,HIV infectious disease,1998.0,hiv-1 infection; human immunodeficiency virus (hiv-1) infection; human immunodeficiency virus type 1 (hiv-1) infection; human immunodeficiency virus type 1 infection,"['ANDA078119', 'ANDA091144', 'ANDA201107', 'ANDA202912', 'ANDA204990', 'NDA205551', 'NDA215413'] ; ['ANDA077844', 'ANDA077950', 'ANDA091294', 'ANDA091560', 'ANDA201107', 'NDA020978'] ; ['ANDA202912'] ; ['ANDA090159', 'ANDA205412', 'ANDA212663', 'ANDA216332', 'NDA021652']"
Abatacept,myelodysplastic syndrome with single lineage dysplasia,2005.0,ra,['BLA125118']
Abatacept,rheumatoid arthritis,2005.0,rheumatoid arthritis,['BLA125118']
Abiraterone acetate,castration-resistant prostate carcinoma,2011.0,crpc; metastatic castration-resistant prostate cancer,"['ANDA208327', 'ANDA208339', 'ANDA208371', 'ANDA208446', 'ANDA209227', 'ANDA210686'] ; ['ANDA208327', 'ANDA208339', 'ANDA208371', 'ANDA208416', 'ANDA208446', 'ANDA208453', 'ANDA209227', 'ANDA210686', 'ANDA212462', 'ANDA215086', 'ANDA215947', 'NDA202379', 'NDA210308', 'NDA216793']"
Abiraterone acetate,hormone-resistant prostate carcinoma,2011.0,metastatic high-risk castration-sensitive prostate cancer,"['ANDA208339', 'ANDA208371', 'ANDA208416', 'ANDA208446', 'ANDA208453', 'ANDA209227', 'ANDA210686', 'ANDA212462', 'ANDA215086', 'ANDA215947', 'NDA202379']"
Abiraterone acetate,phyllodes tumor,2018.0,cspc,"['ANDA208339', 'ANDA208371', 'ANDA208446', 'ANDA209227', 'ANDA210686']"
AbobotulinumtoxinA,cervical dystonia,2009.0,cervical dystonia,['BLA125274']
AbobotulinumtoxinA,spasticity,2009.0,spasticity,['BLA125274']
Abraxane,metastatic breast cancer,2005.0,metastatic breast cancer,['NDA021660']
Acamprosate,alcohol abuse,2013.0,alcohol dependence,"['ANDA200142', 'ANDA202229', 'ANDA205995']"
Acamprosate calcium,alcohol abuse,2013.0,alcohol dependence,"['ANDA200142', 'ANDA202229', 'ANDA205995']"
Acarbose,type 2 diabetes mellitus,2008.0,type 2 diabetes mellitus,"['ANDA078470', 'ANDA090912', 'ANDA202271']"
Acebutolol,hypertensive disorder,1995.0,hypertension,"['ANDA074007', 'ANDA075047']"
Acetaminophen,acute pain,2009.0,acute pain,"['ANDA090460', 'ANDA090485', 'ANDA201952', 'ANDA207152', 'NDA208653', 'NDA209471']"
Acetaminophen,arthritic joint disease,1994.0,arthritis,"['ANDA075077', 'ANDA076200', 'ANDA078569', 'ANDA207035', 'ANDA207229', 'ANDA211544', 'ANDA215486', 'ANDA218247', 'NDA019872']"
Acetaminophen,backache,1994.0,backache,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA214836', 'ANDA215486', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218247', 'ANDA218311', 'ANDA218359', 'NDA019872', 'NDA211733']"
Acetaminophen,common cold,1994.0,common cold; the common cold,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA215486', 'NDA019872'] ; ['ANDA076200', 'ANDA207229', 'ANDA211544']"
Acetaminophen,exertional headache,1984.0,muscle contraction headache; tension headache,"['ANDA040387', 'ANDA040511', 'ANDA040864', 'ANDA040885', 'ANDA076560', 'ANDA088616', 'ANDA089007', 'ANDA089175', 'ANDA089987', 'ANDA090956', 'ANDA200243', 'ANDA203484', 'ANDA204733', 'ANDA206615', 'ANDA207118', 'ANDA207313', 'ANDA209587', 'ANDA211106', 'ANDA212082', 'ANDA212083', 'ANDA213046', 'ANDA213115', 'ANDA213321', 'ANDA214087', 'ANDA214088', 'ANDA214287', 'ANDA214288', 'ANDA214291', 'ANDA214305', 'ANDA214955', 'ANDA215138', 'ANDA216376', 'NDA020232'] ; ['ANDA040387', 'ANDA040511', 'ANDA040864', 'ANDA040885', 'ANDA076560', 'ANDA088616', 'ANDA089007', 'ANDA089175', 'ANDA089987', 'ANDA090956', 'ANDA200243', 'ANDA203484', 'ANDA204733', 'ANDA206615', 'ANDA207118', 'ANDA207313', 'ANDA209587', 'ANDA211106', 'ANDA212082', 'ANDA212083', 'ANDA213046', 'ANDA213115', 'ANDA213321', 'ANDA214087', 'ANDA214088', 'ANDA214287', 'ANDA214288', 'ANDA214291', 'ANDA214305', 'ANDA214955', 'ANDA215138', 'ANDA216376', 'NDA020232']"
Acetaminophen,headache disorder,1980.0,headache,"['ANDA070607', 'ANDA070608', 'ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA214836', 'ANDA215486', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218247', 'ANDA218311', 'ANDA218359', 'NDA018337', 'NDA019872', 'NDA211733']"
Acetaminophen,menstrual cramps,1994.0,menstrual cramps,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA214836', 'ANDA215486', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218247', 'ANDA218311', 'ANDA218359', 'NDA019872', 'NDA211733']"
Acetaminophen,mild to moderate pain,1980.0,mild to moderate pain,"['ANDA040419', 'ANDA040779', 'ANDA087083', 'ANDA089805', 'ANDA089828', 'ANDA089990', 'ANDA202605', 'ANDA202800', 'ANDA204052', 'ANDA205746', 'ANDA210969', 'ANDA211610', 'ANDA212418', 'ANDA213255', 'ANDA214331', 'ANDA215403', 'ANDA216617', 'ANDA219215', 'NDA204957', 'NDA206968', 'NDA215320']"
Acetaminophen,minor aches,1980.0,minor aches,"['ANDA070607', 'ANDA070608', 'NDA018337']"
Acetaminophen,minor pain of arthritis,2020.0,minor pain of arthritis,"['ANDA214836', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218311', 'ANDA218359', 'NDA211733']"
Acetaminophen,moderate to moderately severe pain,2012.0,moderate to moderately severe pain,['ANDA202677']
Acetaminophen,moderate to severe pain,2016.0,moderate to severe pain,"['ANDA202605', 'ANDA204052', 'ANDA205746', 'ANDA210969', 'ANDA213255', 'ANDA214331', 'ANDA215403', 'ANDA216617', 'ANDA219215', 'NDA204957', 'NDA215320']"
Acetaminophen,muscular aches,1994.0,muscular aches,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA214836', 'ANDA215486', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218247', 'ANDA218311', 'ANDA218359', 'NDA019872', 'NDA211733']"
Acetaminophen,obsolete disorder involving pain,1980.0,pain; pains,"['ANDA040330', 'ANDA040400', 'ANDA040405', 'ANDA040409', 'ANDA040545', 'ANDA040608', 'ANDA040736', 'ANDA040746', 'ANDA040777', 'ANDA040778', 'ANDA040826', 'ANDA040834', 'ANDA040838', 'ANDA040881', 'ANDA040894', 'ANDA087463', 'ANDA087508', 'ANDA201013', 'ANDA201278', 'ANDA201295', 'ANDA201448', 'ANDA201972', 'ANDA202142', 'ANDA202214', 'ANDA202991', 'ANDA203863', 'ANDA203864', 'ANDA204021', 'ANDA204407', 'ANDA204785', 'ANDA206142', 'ANDA206245', 'ANDA206484', 'ANDA206718', 'ANDA206869', 'ANDA207137', 'ANDA207419', 'ANDA207509', 'ANDA207510', 'ANDA207709', 'ANDA209036', 'ANDA209037', 'ANDA209385', 'ANDA209924', 'ANDA210211', 'ANDA210644', 'ANDA211023', 'ANDA211487', 'ANDA211499', 'ANDA211708', 'ANDA211729', 'ANDA218247', 'NDA204767'] ; ['ANDA070607', 'ANDA070608', 'NDA018337']"
Acetaminophen,premenstrual cramps,1994.0,premenstrual cramps,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA215486', 'NDA019872']"
Acetaminophen,toothache,1994.0,toothache,"['ANDA075077', 'ANDA078569', 'ANDA207035', 'ANDA214836', 'ANDA215486', 'ANDA216592', 'ANDA216994', 'ANDA216999', 'ANDA218247', 'ANDA218311', 'ANDA218359', 'NDA019872', 'NDA211733']"
Acetaminophen,typhus,1980.0,fever,"['ANDA070607', 'ANDA070608', 'ANDA075077', 'ANDA078569', 'ANDA202605', 'ANDA204052', 'ANDA205746', 'ANDA207035', 'ANDA210969', 'ANDA213255', 'ANDA214331', 'ANDA215403', 'ANDA215486', 'ANDA216617', 'ANDA219215', 'NDA018337', 'NDA019872', 'NDA204767', 'NDA204957']"
"Acetate, Desmopressin",anuria,1984.0,polyuria,"['ANDA074888', 'ANDA077414', 'ANDA201831', 'ANDA204695', 'ANDA204751', 'ANDA207880', 'ANDA210218', 'ANDA210223', 'ANDA210371', 'ANDA213095', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938', 'NDA019955']"
"Acetate, Desmopressin",central diabetes insipidus,1984.0,central (cranial) diabetes insipidus; central diabetes insipidus,"['ANDA091280'] ; ['ANDA074830', 'ANDA074888', 'ANDA076703', 'ANDA077414', 'ANDA091280', 'ANDA201831', 'ANDA204695', 'ANDA204751', 'ANDA207880', 'ANDA210218', 'ANDA210223', 'ANDA210371', 'ANDA213095', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938', 'NDA019955']"
"Acetate, Desmopressin",dipsogenic diabetes insipidus,1984.0,polydipsia,"['ANDA074888', 'ANDA077414', 'ANDA091280', 'ANDA201831', 'ANDA204695', 'ANDA204751', 'ANDA207880', 'ANDA210218', 'ANDA210223', 'ANDA210371', 'ANDA213095', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938', 'NDA019955']"
"Acetate, Desmopressin",hemophilia A,1984.0,hemophilia a,"['ANDA074888', 'ANDA204695', 'ANDA204751', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938']"
"Acetate, Desmopressin",nephrogenic diabetes insipidus,1984.0,nephrogenic diabetes insipidus,"['ANDA074888', 'ANDA076703', 'ANDA204695', 'ANDA204751', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938']"
"Acetate, Desmopressin",nocturnal enuresis,2005.0,primary nocturnal enuresis,['ANDA076703']
"Acetate, Desmopressin",temporary polyuria,2013.0,temporary polyuria,['ANDA091280']
"Acetate, Desmopressin",von Willebrand disease 1,1984.0,von willebrand’s disease (type i),"['ANDA074888', 'ANDA204695', 'ANDA204751', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938']"
"Acetate, Desmopressin",von Willebrand disease 3,1984.0,severe von willebrand’s disease (type i),"['ANDA074888', 'ANDA204695', 'ANDA204751', 'ANDA215961', 'ANDA216904', 'ANDA216922', 'NDA018938']"
"Acetate, Glatiramer",active secondary progressive disease,1996.0,active secondary progressive disease,"['ANDA090218', 'ANDA091646', 'ANDA203857', 'ANDA206873', 'ANDA206921', 'ANDA206936', 'NDA020622']"
"Acetate, Glatiramer",clinically isolated syndrome,1996.0,clinically isolated syndrome,"['ANDA090218', 'ANDA091646', 'ANDA203857', 'ANDA206873', 'ANDA206921', 'ANDA206936', 'NDA020622']"
"Acetate, Glatiramer",relapsing-remitting multiple sclerosis,1996.0,relapsing forms of multiple sclerosis; relapsing-remitting disease,"['ANDA090218', 'ANDA091646', 'ANDA203857', 'ANDA206873', 'ANDA206921', 'ANDA206936', 'NDA020622'] ; ['ANDA090218', 'ANDA091646', 'ANDA203857', 'ANDA206873', 'ANDA206921', 'ANDA206936', 'NDA020622']"
"Acetate, Goserelin",advanced breast cancer,1989.0,advanced breast cancer,['NDA019726']
"Acetate, Goserelin",dysfunctional uterine bleeding,1989.0,dysfunctional uterine bleeding,['NDA019726']
"Acetate, Goserelin",endometriosis,1989.0,endometriosis,['NDA019726']
"Acetate, Goserelin",locally confined carcinoma of the prostate,1989.0,locally confined carcinoma of the prostate,['NDA019726']
"Acetate, Goserelin",metastatic prostate carcinoma,1989.0,advanced carcinoma of the prostate,"['NDA019726', 'NDA020578']"
"Acetate, Goserelin",obsolete disorder involving pain,1989.0,pain,['NDA019726']
"Acetate, Goserelin",prostate carcinoma,1996.0,carcinoma of the prostate,['NDA020578']
"Acetate, Goserelin",stage b2-c prostatic carcinoma,1989.0,stage b2-c prostatic carcinoma,"['NDA019726', 'NDA020578']"
"Acetate, Leuprolide",central precocious puberty,1993.0,central precocious puberty,"['NDA020263', 'NDA213150']"
"Acetate, Leuprolide",choroid plexus papilloma,1993.0,cpp,"['NDA020263', 'NDA213150']"
"Acetate, Leuprolide",endometriosis,1990.0,endometriosis,"['NDA020011', 'NDA020708']"
"Acetate, Leuprolide",metastatic prostate carcinoma,1989.0,advanced prostate cancer; advanced prostatic cancer,"['NDA019732', 'NDA020517', 'NDA021343', 'NDA021379', 'NDA021488', 'NDA021731', 'NDA205054'] ; ['ANDA074728', 'ANDA075471', 'ANDA078885', 'ANDA212963', 'ANDA213829', 'ANDA215336', 'ANDA217957']"
"Acetate, Leuprolide",obsolete disorder involving pain,1990.0,pain,"['NDA020011', 'NDA020708']"
"Acetate, Megestrol",AIDS,2001.0,acquired immunodeficiency syndrome; aids,"['ANDA075671', 'ANDA076721', 'ANDA077404', 'ANDA203139'] ; ['ANDA075671', 'ANDA076721']"
"Acetate, Megestrol",advanced carcinoma of the breast,1988.0,advanced carcinoma of the breast,"['ANDA072422', 'ANDA072423']"
"Acetate, Megestrol",advanced carcinoma of the endometrium,1988.0,advanced carcinoma of the endometrium,"['ANDA072422', 'ANDA072423']"
"Acetate, Megestrol","an unexplained, significant weight loss",2001.0,"an unexplained, significant weight loss","['ANDA075671', 'ANDA076721']"
"Acetate, Megestrol",anorexia nervosa,2001.0,anorexia,"['ANDA075671', 'ANDA076721', 'ANDA077404', 'ANDA203139']"
"Acetate, Megestrol",breast carcinoma,1995.0,carcinoma of the breast,['ANDA074621']
"Acetate, Megestrol",cachexia,2001.0,cachexia,"['ANDA075671', 'ANDA076721', 'ANDA077404', 'ANDA203139']"
"Acetate, Megestrol",endometrial carcinoma,1995.0,carcinoma of the endometrium,['ANDA074621']
"Acetate, Megestrol",significant weight loss,2006.0,significant weight loss,"['ANDA077404', 'ANDA203139']"
Acetazolamide,acute closed-angle glaucoma,1995.0,acute angle-closure glaucoma,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA040904', 'ANDA090779', 'ANDA200880', 'ANDA202693', 'ANDA203434', 'ANDA204691', 'ANDA205301', 'ANDA205530', 'ANDA207401', 'ANDA207659', 'ANDA209734', 'ANDA210423', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,congestive heart failure,1995.0,congestive heart failure; edema due to congestive heart failure,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775'] ; ['ANDA210588']"
Acetazolamide,drug-induced edema,1995.0,drug-induced edema,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,edema,1995.0,edema,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,"obsolete glaucoma 1, open angle, E",1995.0,chronic simple (open-angle) glaucoma; chronic simple glaucoma,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA040904', 'ANDA200880', 'ANDA202693', 'ANDA204691', 'ANDA205301', 'ANDA205530', 'ANDA207401', 'ANDA207659', 'ANDA209734', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775'] ; ['ANDA090779', 'ANDA203434', 'ANDA210423', 'ANDA210588']"
Acetazolamide,obsolete secondary dysgenetic glaucoma,1995.0,secondary glaucoma,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA040904', 'ANDA090779', 'ANDA200880', 'ANDA202693', 'ANDA203434', 'ANDA204691', 'ANDA205301', 'ANDA205530', 'ANDA207401', 'ANDA207659', 'ANDA209734', 'ANDA210423', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,open-angle glaucoma,2011.0,open-angle glaucoma,"['ANDA090779', 'ANDA203434', 'ANDA210423', 'ANDA210588']"
Acetazolamide,petit mal,1995.0,petit mal,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,self-limited epilepsy with centrotemporal spikes,1995.0,centrencephalic epilepsies,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetazolamide,unlocalized seizures,1995.0,unlocalized seizures,"['ANDA040089', 'ANDA040195', 'ANDA040784', 'ANDA200880', 'ANDA202693', 'ANDA205530', 'ANDA209734', 'ANDA210588', 'ANDA211069', 'ANDA211151', 'ANDA211372', 'ANDA211556', 'ANDA212089', 'ANDA214282', 'ANDA215101', 'ANDA217197', 'ANDA219775']"
Acetic acid,inflammatory disease,1961.0,inflammation,"['ANDA040609', 'ANDA088759', 'NDA012770']"
Acetic acid,superficial infections of the external auditory canal,1960.0,superficial infections of the external auditory canal,"['ANDA040166', 'ANDA040607', 'ANDA040609', 'ANDA088759', 'NDA012179', 'NDA012770']"
Acetic acid,susceptible urinary pathogens,1976.0,susceptible urinary pathogens,"['NDA017656', 'NDA018523']"
Acetic acid,urinary pathogens,1979.0,urinary pathogens,['NDA018161']
Acetohydroxamic acid,chronic urea-splitting urinary infection,1983.0,chronic urea-splitting urinary infection,['NDA018749']
"Acetonide, Fluocinolone",acute otitis media with tympanostomy tubes (aomt),2016.0,acute otitis media with tympanostomy tubes (aomt),['NDA208251']
"Acetonide, Fluocinolone",atopic eczema,1988.0,atopic dermatitis; atopic dermatitis in adults,"['ANDA202368', 'ANDA202847', 'ANDA203377', 'ANDA212760', 'NDA019452'] ; ['ANDA201764']"
"Acetonide, Fluocinolone",chronic fungal otitis externa,2011.0,chronic eczematous external otitis,"['ANDA091306', 'ANDA202849', 'ANDA203378', 'ANDA210736', 'ANDA211815', 'ANDA212762']"
"Acetonide, Fluocinolone",chronic non-infectious uveitis,2005.0,chronic non-infectious uveitis,"['NDA021737', 'NDA210331']"
"Acetonide, Fluocinolone",corticosteroid-responsive dermatoses,1963.0,corticosteroid-responsive dermatoses,"['ANDA088167', 'ANDA088168', 'ANDA089124', 'ANDA089524', 'ANDA089526', 'ANDA206422', 'ANDA208386', 'ANDA209913', 'ANDA210747', 'NDA012787', 'NDA013960']"
"Acetonide, Fluocinolone","dermatitis, atopic, 3",2013.0,moderate to severe atopic dermatitis,"['ANDA202368', 'ANDA202847']"
"Acetonide, Fluocinolone",diabetic macular edema,2014.0,diabetic macular edema,['NDA201923']
"Acetonide, Fluocinolone",inflammatory disease,1963.0,inflammation; inflammatory; inflammatory manifestations,"['ANDA088167', 'ANDA206422', 'ANDA209913'] ; ['ANDA210747'] ; ['ANDA088168', 'ANDA089124', 'ANDA089524', 'ANDA089526', 'ANDA208386', 'NDA012787', 'NDA013960']"
"Acetonide, Fluocinolone",melasma,2002.0,melasma,['NDA021112']
